"Iteration","Makespan","TotalCost","Utilization","Imbalance"
"100","6637.252000000002","49.56098474999999","0.5545167680506597","0.3597722222755149"
"200","6014.587833333333","48.86031228333334","0.6244141454562219","0.3190034345854108"
"300","5154.673916666668","48.119881116666676","0.7549884298371476","0.21617605586905356"
"400","5495.838666666667","50.22086456666667","0.6727607471818883","0.43722585992462115"
"500","5428.672583333331","51.25273858333331","0.6638151152696612","0.6520981203415623"
"600","5388.006666666669","50.877076533333344","0.6755273749970614","0.57165136736953"
"700","5089.0055833333345","48.180763416666686","0.7791214787700205","0.13569591950570326"
"800","4824.005416666667","48.217734583333346","0.8191569828196311","0.14717646556726416"
"900","4462.629749999999","48.29725755833332","0.9025216764472413","0.06527856956165112"
"1000","5104.125749999999","48.38267070833333","0.8058499538339158","0.02882316568997095"
